author_sort,authors,comments,cover,timestamp,formats,isbn,id,identifiers,languages,library_name,pubdate,publisher,rating,series,series_index,size,tags,title,title_sort,#已读,uuid
"(美)布赖恩·克罗泽","(美)布赖恩·克罗泽","","/Users/zxy/Calibre Library/(Mei )Bu Lai En _Ke Luo Ze/Jiang Jie Shi Chuan (138)/cover.jpg","2020-11-02T13:24:17+08:00","chm, epub","","138","","zho","Calibre Library","2011-06-15T00:00:00+08:00","国际文化出版公司","","","1.0","12877726","","蒋介石传","蒋介石传","","ad2d23a9-841d-4b5a-a4dd-c7dd53e2dc04"
"唐德刚","唐德刚","","/Users/zxy/Calibre Library/Tang De Gang/Li Zong Ren Hui Yi Lu (139)/cover.jpg","2020-11-02T13:24:18+08:00","djvu, epub, mobi, pdf","","139","","zho","Calibre Library","2011-02-18T00:00:00+08:00","每日一书计划","","历史经典","1.0","23793607","历史","李宗仁回忆录","李宗仁回忆录","","55892e88-be30-4d8b-8648-8e9d45dc0379"
"高华","高华","百事可悲
","/Users/zxy/Calibre Library/Gao Hua/Deng Xiao Ping Shi Dai (Wu Shan Jie Wan Zheng Ban ) (140)/cover.jpg","2020-11-02T13:24:25+08:00","epub, mobi, pdf","","140","mobi-asin:e4aca93a-2027-4bf9-a928-45592c4f6ece","zho","Calibre Library","2018-04-22T00:00:00+08:00","Harvard University Press","","","1.0","6675754","","邓小平时代（无删节完整版）","邓小平时代（无删节完整版）","","779451e6-bb70-4865-9091-b944119b225b"
"Unknown","Unknown","","/Users/zxy/Calibre Library/Unknown/Zhao Zi Yang _Gai Ge Li Cheng ----Zhao Zi Yang Hui Yi Lu (141)/cover.jpg","2020-11-02T13:24:29+08:00","pdf","","141","","","Calibre Library","2009-06-07T19:09:17+08:00","","","","1.0","1564878","","赵紫阳：改革历程——赵紫阳回忆录","赵紫阳：改革历程——赵紫阳回忆录","","f1213f1d-e547-4a1c-9fab-e32ff7f6d79c"
"Unknown","Unknown","","/Users/zxy/Calibre Library/Unknown/Yao Jin Guo _Chen Du Xiu Yu Mo Si Ke De En En Yuan Yuan  (Sao Miao Ban ) (142)/cover.jpg","2020-11-02T13:24:29+08:00","pdf","","142","","","Calibre Library","2012-12-20T00:56:37+08:00","","","","1.0","45452534","","姚金果：陈独秀与莫斯科的恩恩怨怨 (扫描版)","姚金果：陈独秀与莫斯科的恩恩怨怨 (扫描版)","","73299e98-c43a-4551-a32c-c314237a5a9d"
"金榜图书","金榜图书","","/Users/zxy/Calibre Library/Jin Bang Tu Shu/Yu Jie _He Xie Da Di Hu Jin Tao  (Bu Quan ) (143)/cover.jpg","2020-11-02T13:24:29+08:00","pdf, txt","","143","","","Calibre Library","0101-01-01T08:00:00+08:00","","","","1.0","1654355","","余杰：河蟹大帝胡锦涛 (不全)","余杰：河蟹大帝胡锦涛 (不全)","","48b0a5de-a8cc-4890-9dd3-f828dddabf49"
"高文谦","高文谦","大陆禁上市!!!  长期以来,大陆官方出于政治的需要,一直讳言毛、周两人历史上恩恩怨怨的关系,文革时期更是禁忌,只准许毛泽东身边的几个工作人员出来撰写回忆文章。内容不是刻意遮掩毛不去参加周恩来追悼会的真正原因,就是大加渲染毛、周之间的所谓""深厚情谊""。         然而,结果是越描越黑,非但没有驱散人们心头的疑云,反而露出更大的破绽,因为这些记述和解释大都空洞牵强,有的甚至还自相矛盾。当然,更主要的还是因为周恩来的大半政治生涯一直笼罩在毛泽东的阴影之下,两人之间的关系剪不断理还乱,实在是太复杂了,绝非一两件事情的肯定或否定,就可以简单了断的。         应该说,毛泽东与周恩来两人的关系是中共党史和中国现代史中最令人感兴趣的话题之一,同时也是非常复杂微妙的地方。更重要的是,它是了解和把握晚年周恩来乃至其整个政治生涯的一把钥匙。目前海内外已经出版的研究毛、周两人的着作可谓汗牛充栋,难以计数,不过专门论及这个问题的却不多。而且即使涉及,也囿于各自的条件,大陆的难以跳出意识形态的桎梏,多有顾忌,欲言又止;而海外的则又难免给人以捕风捉影,隔靴搔痒之感。         正因为如此,本书的写作,相对而言有着得天独厚的条件。作者曾任中共中央文献研究室室务委员、周恩来生平研究小组组长,在大陆从事周恩来和文革史研究多年,出国前是大陆官方《周恩来年谱》、《周恩来传》和《毛泽东传》文革部分的执笔人。在大陆期间,作者曾在中共中央文献研究室的档案室里泡过十几年,看过大量历史文献档案,其中有许多是官方一直刻意遮掩而不见天日的核心档案。         另一方面,作者因同情和支持一九八九年由学生发起的爱国民主运动而在随后的清查中遭到整肃,目前寓居美国。与大陆学术界的同仁相比,享有写作上的自由,因此更有条件来写这样一本书,把周恩来这个依然在中共神坛上供奉的偶像,并且集中国传统文化与中共政治文化之大成的""党内大儒"",重新放回当年那段天翻地覆、狂热恐怖的年代中加以审视,在拂去历史的尘埃,剥掉涂抹的油彩,还给人们一个真实的周恩来。","/Users/zxy/Calibre Library/Gao Wen Qian/Wan Nian Zhou En Lai (144)/cover.jpg","2020-11-02T13:24:29+08:00","epub, mobi, pdf","9781586484156","144","isbn:9781586484156,mobi-asin:592f710c-989f-4af0-aacd-d945e66825ca","zho","Calibre Library","2012-01-18T00:00:00+08:00","epub掌上书苑","","","1.0","1644300","9781586484156, 历史","晚年周恩来","晚年周恩来","","9e3332c7-f240-49dd-8fe9-91bc41b70588"
"Unknown","Unknown","","/Users/zxy/Calibre Library/Unknown/Zhong Dao Ran _Wo Bu Yuan Liang ----Yi Ge 90Hou Dui Zhong Guo Jiao Yu De Pi Ping He Fan Si  (Sa (145)/cover.jpg","2020-11-02T13:24:33+08:00","doc, pdf","","145","","","Calibre Library","2012-03-27T14:05:26+08:00","","","","1.0","11051043","","钟道然：我不原谅——一个90后对中国教育的批评和反思 (扫描版)","钟道然：我不原谅——一个90后对中国教育的批评和反思 (扫描版)","","344c9066-e3e4-4ce6-8760-0b949bdbb219"
"Oxen(老老老牛)整理","Oxen(老老老牛)整理","叶宜青制作","/Users/zxy/Calibre Library/Oxen(Lao Lao Lao Niu )Zheng Li/Ju Qiu Bai Duo Yu De Hua Ji Qi Ta (146)/cover.jpg","2020-11-02T13:24:35+08:00","epub, mobi, pdf, txt","","146","mobi-asin:ea82fb86-2199-41cc-af5b-1960fc66ce51","zho","Calibre Library","2011-07-29T12:02:37+08:00","无","","","1.0","22068024","叶宜青制作, 回忆录","瞿秋白多余的话及其他","瞿秋白多余的话及其他","","7b82edd2-0cb4-4452-bffc-04fa77200f35"
"钱理群","钱理群","<p>From 1954 until Mao Zedong's death 22 years later. Dr. Li Zhisui was the Chinese ruler's personal physician. For most of these years, Mao was in excellent health; thus he and the doctor had time to discuss political and personal matters. Dr. Li recorded many of these conversations in his diaries, as well as in his memory. In this book, Dr. Li vividly reconstructs his extraordinary time with Chairman Mao. of illustrations.<br><br><i>From the Trade Paperback edition.</i>","/Users/zxy/Calibre Library/Qian Li Qun/Mao Ze Dong Shi Dai He Hou Mao Ze Dong Shi Dai _Ling Yi Zhong Li Shi Shu Xie (147)/cover.jpg","2020-11-02T13:24:39+08:00","doc, epub, mobi, pdf","978-0-307-79139-9","147","isbn:978-0-307-79139-9,mobi-asin:a8c6e801-f040-4344-8dc9-6a774eab2ddf","zho","Calibre Library","2012-12-01T00:00:00+08:00","联经出版公司","","","1.0","49913811","历史","毛泽东时代和后毛泽东时代：另一种历史书写","毛泽东时代和后毛泽东时代：另一种历史书写","","d8263758-90c1-45e8-8b02-89c9143ed934"
"廖亦武","廖亦武","","/Users/zxy/Calibre Library/Liao Yi Wu/Zhong Guo Yuan An Lu (148)/cover.jpg","2020-11-02T13:24:42+08:00","mobi, pdf, txt","","148","mobi-asin:8041a93a-f7fd-436e-8b39-8a4e5c1711fc","zho","Calibre Library","0101-01-01T08:00:00+08:00","Microsoft China","","","1.0","2472972","","中国冤案录","中国冤案录","","267e2df8-2d60-4823-a4cf-c09c5a7add8b"
"Unknown","Unknown","","/Users/zxy/Calibre Library/Unknown/Gao Zhi Sheng _2017Nian ,Qi Lai Zhong Guo ----Ku Xing Xia De Wei Quan Lu Shi Gao Zhi Sheng Zi S (149)/cover.jpg","2020-11-02T13:24:44+08:00","pdf","","149","","","Calibre Library","2016-08-03T12:32:42+08:00","","","","1.0","4738191","","高智晟：2017年，起來中國——酷刑下的維權律師高智晟自述","高智晟：2017年，起來中國——酷刑下的維權律師高智晟自述","","173d9a72-ac04-43f4-ad62-a033e0964aa9"
"何清涟","何清涟","","/Users/zxy/Calibre Library/He Qing Lian/Wu Suo Zhong Guo (150)/cover.jpg","2020-11-02T13:24:45+08:00","chm, mobi, pdf","","150","","zho","Calibre Library","2010-11-30T00:00:00+08:00","每日一书计划","","","1.0","2240387","现代·当代","雾锁中国","雾锁中国","","ea31f46b-3724-418d-ba04-6a761ebfed3d"
"Unknown","Unknown","","/Users/zxy/Calibre Library/Unknown/Qin Fu Quan _Bo Gu He Mao Ze Dong ----Ji Zhong Hua Su Wei Ai Gong He Guo De Ling Xiu Men  (Sao (151)/cover.jpg","2020-11-02T13:24:48+08:00","pdf","","151","","","Calibre Library","0101-01-01T08:00:00+08:00","","","","1.0","20101840","","秦福銓：博古和毛澤東——及中華蘇維埃共和國的領袖們 (掃描版)","秦福銓：博古和毛澤東——及中華蘇維埃共和國的領袖們 (掃描版)","","4341f51c-94a8-4ea2-a1ae-f4347efedbd7"
"王珂","王珂","","/Users/zxy/Calibre Library/Wang Ke/Dong Tu Jue Si Tan Du Li Yun Dong _1930Nian Dai Zhi 1940Nian Dai (152)/cover.jpg","2020-11-02T13:24:48+08:00","epub, mobi, pdf, txt","","152","mobi-asin:a804c8f1-157d-46c3-9d36-b1913ff68f0c","","Calibre Library","2013-08-25T00:00:00+08:00","Create by 2epub.net","","","1.0","49970556","历史·传记","东突厥斯坦独立运动：1930年代至1940年代","东突厥斯坦独立运动：1930年代至1940年代","","c406caa9-a9cf-4998-b421-8fc27a74f316"
"袁剑","袁剑","","/Users/zxy/Calibre Library/Yuan Jian/Zhong Guo _Qi Ji De Huang Hun (153)/cover.jpg","2020-11-02T13:24:53+08:00","epub, mobi, pdf, zip","","153","","zho","Calibre Library","2006-06-30T20:30:23+08:00","","","","1.0","11252345","","中国：奇迹的黄昏","中国：奇迹的黄昏","","0e85932b-fdee-4709-bd06-11e42be2a774"
"郑念","郑念","这是一部纪实小说。本书主人公,曾是国民党一名高级外交官的妻子。上海解放前夕,携独生女儿自海外归来。解放后任英国亚细亚石油公司上海分公司经理(这是解放后唯一留在大陆上的西方石油公司)。十年浩劫打破了她宁静、舒适的生活,她被批斗、抄家,并被投入监狱。更使她悲痛钬绝的是,她所钟爱的当电影演员的独生女儿被活活打死......这是一个发生在那个疯狂的年代的惨绝人寰的真实故事。  
它自始至终紧紧抓住读者的心,令读者随书中主人公而哭泣、而绝望、而愤慨!本书作者时。十午文革的独特的思考,也值得引起人们的深思。
","/Users/zxy/Calibre Library/Zheng Nian/Shang Hai Sheng Si Jie (154)/cover.jpg","2020-11-02T13:24:54+08:00","chm, epub, mobi, pdf, txt","9787533901189","154","isbn:9787533901189,douban:3214818,mobi-asin:89d69507-2a23-4825-a2ea-afa208bbb949","zho","Calibre Library","1986-01-02T00:00:00+08:00","浙江文艺出版社","4","","1.0","12987862","郑念, 文革, 传记, 历史, 上海, 纪实, 中国, 回忆录","上海生死劫","上海生死劫","","cf90a2ce-c3ab-4e3b-be72-b082b20abec7"
"龙应台","龙应台","**本书由Martincai（茗人堂CA君）精排，请勿转载。谢谢！**
","/Users/zxy/Calibre Library/Long Ying Tai/Da Jiang Da Hai 1949 (155)/cover.jpg","2020-11-02T13:24:58+08:00","epub, mobi, pdf","","155","mobi-asin:339e0121-572f-4fc4-a0f4-7966d6f15851","zho","Calibre Library","0101-01-01T08:00:00+08:00","epub掌上书苑","","","1.0","4701544","台港澳文学","大江大海1949","大江大海1949","","85b112f4-90a4-4891-9856-7daedf18a276"
"雷震远","雷震远","读《内在的敌人》可以了 解中共抗日时期的真实一面，也可了解当时中国国情，以及人们的思想、信仰是怎样被  逐渐蹂躏的。书中也涉及到了较广泛的党史资料，是研究中共党史的珍贵参考。","/Users/zxy/Calibre Library/Lei Zhen Yuan/Nei Zai De Di Ren (156)/cover.jpg","2020-11-02T13:25:02+08:00","chm, epub, mobi, pdf, txt","","156","mobi-asin:b9cb1fe4-0747-4339-ab9f-571566f17e68","eng","Calibre Library","2014-03-01T00:00:00+08:00","blah.me","","","1.0","36227150","","内在的敌人","内在的敌人","","fac0e4d4-6c3f-45f2-8042-8945595a1c76"
"张爱玲","张爱玲","","/Users/zxy/Calibre Library/Zhang Ai Ling/Chi Di Zhi Lian (157)/cover.jpg","2020-11-02T13:25:03+08:00","pdf","","157","","","Calibre Library","2009-09-10T10:33:32+08:00","","","","1.0","1433873","","赤地之恋","赤地之恋","","47b0a0df-1467-4555-93c2-dd2c2dfdf30f"
"杨显惠","杨显惠","这部《定西孤儿院纪事》写的是“受苦人的绝境”，“夹边沟”是一批“右派分子”的流放地，“定西专区”是1960年左右的“大饥荒”在甘肃省内的一个“重灾区”。作者在忠实史料事实和当事人陈述事实的基础上，创作出一个个具有高度典型性和独特性的作品。完全是白描的手法，纪实性的语言，平实的语调，将一幕幕饥饿与死亡的惨烈情境撕裂在人们眼前。其实，对中国当代历史略有了解的人，都会对“右派”的遭遇和1960年“大饥荒”的灾难有一定的心理预期，为什么这些作品会一次次冲破人们的心理疆界？这是因为现实“绝境”的残酷性远远超出了人们的想像力，是作家虚构不出来的。这些以细节构成的个人的故事，使惨绝人寰的灾难变得具体可感，将之铭刻在我们的情感记忆中，不再容易被任何人用抽象的数字和话语所模糊遮盖，逼迫要继续活下去的人们不得不面对、反思。我们常说，文学的力量在于虚构，但在这样的真实面前，你会觉得一切虚构都失去了力量。这些年来，现实主义的创作手法不断被窄化、僵化、庸俗化，以至于它“写真实”的能力被许多人所质疑。杨显惠的作品再次向人们显示了，当代作家继续使用写实手法可能达到的表现力和穿透力，以及在有大量触目惊心的历史现实尚未被文学有力地表现、甚至被刻意遮蔽的当下环境中，这种手法的不可替代性。
(子乌注：嗯，为啥豆瓣不能收录这本书呢【搜索ISBN，然后在豆瓣添加】？各种好奇啊……要知道，亚马逊、当当都还在卖呢~~)
","/Users/zxy/Calibre Library/Yang Xian Hui/Ding Xi Gu Er Yuan Ji Shi (158)/cover.jpg","2020-11-02T13:25:04+08:00","chm, epub, mobi, pdf, zip","9787536049147","158","mobi-asin:9986d968-ef82-45d9-8194-c399c98ea19a,isbn:9787536049147","zho","Calibre Library","2007-03-01T00:00:00+08:00","花城出版社","","","1.0","700861","ZDC:XDWX, CNTY:CHINA","定西孤儿院纪事","定西孤儿院纪事","","f99d68e4-67d9-437f-94a2-239b0bd84510"
"章诒和","章诒和","","/Users/zxy/Calibre Library/Zhang Yi He/Wang Shi Bing Bu Ru Yan (159)/cover.jpg","2020-11-02T13:25:08+08:00","chm, epub, mobi, pdf, txt, zip","9780195970159","159","mobi-asin:03837de1-c19a-4d83-a784-400c4fdcb17f,isbn:9780195970159","zho","Calibre Library","2011-02-12T00:00:00+08:00","epub掌上书苑","","","1.0","1182600","","往事并不如烟","往事并不如烟","","1c97e640-51cb-4f98-92f0-124df0ca87fe"
"唐德剛","唐德剛","毛澤東生前當國，前後凡二十八年（一九四九－一九七六），從完全正確，到完全錯誤，最後把八億人民，都整到家破人亡的絕境；古老民族也被他弄到了人相食，和亡國滅種的邊緣，自成五千年國史上，前所未有的一個特殊階段。何以毛公這樣一位雄才大略的歷史人物，弄成這樣一個「小時了了，大未必佳」地可笑的結局呢？關於毛氏晚年的失德，近年來大眾媒體上的評毛之論，都太看重於毛氏個人的行為了。歷史人物尤其是轉型期中的歷史人物的政治行為，不是不重要，但是其重要性亦有其極限。在治宏觀史學的社會科學家看來，一部中國近現代史原只是一部近代中國社會轉型史。  
  
毛澤東在中國近代轉型史中，原只是個轉型中期的民族領袖。他個人的個性、見識、修養、訓練和時代，都只能鑄造他做個轉型高潮中的秦始皇，而不能做個完成轉型的漢武帝。這就叫做形勢比人強。毛澤東自視為天生聖哲，其實他和你我一樣，也只是個渺小的脊椎動物，並不能扭轉他們唯物主義者曲不離口的所謂「客觀實在」啊！他是時勢所造的英雄；但是他這個蓋世英雄卻未能創造時勢。夫復何言？ 
","/Users/zxy/Calibre Library/Tang De Gang/Mao Ze Dong Zhuan Zheng Shi Mo (160)/cover.jpg","2020-11-02T13:25:11+08:00","chm, epub, mobi, pdf","9573253992","160","mobi-asin:ff55f93d-86ad-4f22-91f6-93aeda7fdffb,isbn:9573253992","zho","Calibre Library","2011-05-14T00:00:00+08:00","好读","","历史/纪实","41.0","1017350","ZDC:LSDL, CNTY:CHINA","毛澤東專政始末","毛澤東專政始末","","635a7f0d-cc1e-4388-b098-9bc7358fdc02"
"孔府藏书","孔府藏书","","/Users/zxy/Calibre Library/Kong Fu Cang Shu/Xi Ban Ya De Min Zhu He Nei Zhan (161)/cover.jpg","2020-11-02T13:25:12+08:00","pdf","","161","","","Calibre Library","0101-01-01T08:00:00+08:00","","","","1.0","539354","","西班牙的民主和内战","西班牙的民主和内战","","a066f093-a928-4496-a481-b37e22a1a961"
"王丹","王丹","六四天安門事件學生領袖王丹日前在台灣出版回憶錄，以個人的記憶回顧1989年六四天安門事件發生的經過。王丹說，他的故事主要講述的，就是一個人在一個國家所經歷的一個時代。他希望通過這本書讓世人不要忘記中國曾經有一段精神昂揚向上的時代。","/Users/zxy/Calibre Library/Wang Dan/Wang Dan Hui Yi Lu (162)/cover.jpg","2020-11-02T13:25:12+08:00","chm, docx, epub, mobi, pdf, txt, zip","","162","mobi-asin:7e2dd04b-361d-4620-bb27-d79feae3720e","eng","Calibre Library","2015-02-05T00:00:00+08:00","blah.me","","","1.0","50779835","","王丹回忆录","王丹回忆录","","e88756cd-f475-465b-8407-98fc01b4c258"
"胡适著","胡适著","","/Users/zxy/Calibre Library/Hu Shi Zhu/Rong Ren Yu Zi You (163)/cover.jpg","2020-11-02T13:25:14+08:00","chm, epub, mobi, pdf","","163","mobi-asin:B00MVQWEE6","zho","Calibre Library","2013-02-01T00:00:00+08:00","中国画报出版社","","","1.0","787423","","容忍与自由","容忍与自由","","6646ffb9-e866-49a8-acda-9ac083349dd7"
"妈妈","妈妈","","/Users/zxy/Calibre Library/Ma Ma/Ge Ming De Jian Wang ----Hong Se Gao Mian ,Yi Bu Xie Lin Lin De Li Shi (164)/cover.jpg","2020-11-02T13:25:20+08:00","pdf","","164","","","Calibre Library","2010-12-23T23:08:00+08:00","","","","1.0","3667689","","革命的僭妄——红色高棉，一部血淋淋的历史","革命的僭妄——红色高棉，一部血淋淋的历史","","aa391544-6646-4f4b-999b-25b607d6400f"
"Manea, Norman","Norman Manea","","/Users/zxy/Calibre Library/Norman Manea/The Hooligan's Return (The Margellos World Republic of Letters) (165)/cover.jpg","2020-11-02T13:25:21+08:00","mobi, pdf","","165","mobi-asin:a85c85f6-5c7e-4db0-a2e8-140ab870b779","eng","Calibre Library","2013-10-22T00:00:00+08:00","Yale University Press","","","1.0","6711934","","The Hooligan's Return (The Margellos World Republic of Letters)","Hooligan's Return (The Margellos World Republic of Letters), The","","eff59b60-eaca-4c7c-8db7-9533c24f00a4"
"Unknown","Unknown","","/Users/zxy/Calibre Library/Unknown/Lai He _Wa Wen Sa _Wa Wen Sa Zi Chuan  (Sao Miao Ban ) (166)/cover.jpg","2020-11-02T13:25:25+08:00","pdf","","166","","","Calibre Library","0101-01-01T08:00:00+08:00","","","","1.0","12782333","","莱赫·瓦文萨：瓦文萨自传 (扫描版)","莱赫·瓦文萨：瓦文萨自传 (扫描版)","","ed12c18c-2bdf-4567-8d9f-f90d8f2aead4"
"YlmF","YlmF","","/Users/zxy/Calibre Library/YlmF/__Qia Si Te Luo Chuan __ Mu Lu (167)/cover.jpg","2020-11-02T13:25:26+08:00","pdf","","167","","","Calibre Library","0101-01-01T08:00:00+08:00","","","","1.0","2027776","","《卡斯特罗传》目录","《卡斯特罗传》目录","","c639d063-5ea6-4c0f-999c-6359af79bf08"
"Unknown","Unknown","","/Users/zxy/Calibre Library/Unknown/Ta De _Shu Er Ci __Bu La Ge Zhi Chun _Qian Hou  (Sao Miao Ban ) (168)/cover.jpg","2020-11-02T13:25:26+08:00","pdf, zip","","168","","","Calibre Library","0101-01-01T08:00:00+08:00","","","","1.0","28509561","","塔德·舒尔茨：“布拉格之春”前后 (扫描版)","塔德·舒尔茨：“布拉格之春”前后 (扫描版)","","aaf0f5da-7036-4bec-95ff-8118a0c684da"
"譯, 姜哲煥 / 皮耶．李古樂 著，鐘玉玨","姜哲煥 / 皮耶．李古樂 著，鐘玉玨 譯","2000年首先以法文出版，
成為揭露北韓集中營生活最知名的脫北者回憶錄
南北韓分裂後，姜哲煥的祖父母放棄在日本豐衣足食的生活，義無反顧地遷回朝鮮報效祖國。九歲那年，受祖父犯「最重的叛國罪」牽連，姜哲煥一家旋即遭當局以政治犯家屬的名義，押解至北韓最大、監禁幾萬名政治犯的「耀德集中營」。
十年勞動改造，姜哲煥最深刻的體悟竟是：「人有作惡的無限潛能。」
在耀德，姜哲煥忍受恥辱、毒打、饑餓，以及無止盡的苦力勞動。求生的本能讓他性格丕變，學會了耍詐、偷竊、陽奉陰違，失去對他人憐憫與同情的能力。集中營卑劣的生活，逼著適應不良的囚犯自尋短路，姜哲煥的父親與四叔就因熬不過低潮，試圖結伴上吊。至於祖母，身為社會主義的虔誠信徒，轉變也最為劇烈。耀德不符人道精神的罪行，破除了她對金氏父子的迷思，看清北韓根本不是「社會主義的人間天堂」，反而更像由希特勒主宰的世界。
幸運獲釋後幾年，姜哲煥因非法收聽南韓電臺廣播，二度面臨勞改威脅。走投無路，他決心逃離地獄的魔爪，抵達旅程終點「大韓民國」重獲自由的那一刻，姜哲煥忍不住流下喜悅的淚，亟欲將北韓同胞所受的苦難與壓迫公諸於世。殊不知國際社會乃至同為大韓民族的南韓人，對北韓當局和集中營內侵犯人權的惡行惡狀，似乎無動於衷，脫北者的懇求得不到任何迴響。
來到首爾不久後，姜哲煥與在人權組織任職的李古樂結識。李古樂深信北韓政權之所以能為所欲為，部分因北韓老百姓與外界完全隔離，部分則出於國際社會對北韓政權罪行的一無所知。他建議姜哲煥現身說法，揭露北韓人民在金氏父子高壓統治下的生活實況。2000年，姜哲煥的遭遇終於在西方世界曝光，就連時任美國總統的小布希也深受感動與啟發。2005年，小布希邀請姜哲煥到白宮討論北韓問題的解決之道，並在2010年出版的個人回憶錄中「Decision Points」表示：「在我的總統任期內，《平壤水族館》是對我影響最大的書之一。」
姜哲煥現定居南韓，為社團法人北韓戰略中心代表，同時也是《朝鮮日報》客座記者，並持續聲援關切北韓境內的人權侵害問題。
姜哲煥（1968年生）
脫北者。年少時曾被北韓當局關押於耀德集中營達十年。獲釋後幾年決定逃往中國，並輾轉抵達南韓。目前定居首爾，為社團法人北韓戰略中心代表，以及《朝鮮日報》客座記者。
皮耶．李古樂（Pierre Rigoulot）
法國人，揭露全球共產政權罪行的《共產主義黑皮書》的編者之一。
譯者簡介
鍾玉玨
臺大外文系畢，夏威夷大學傳播系碩士，目前擔任國際新聞編譯。譯作涵蓋政治、經濟、心理、管理，譯有《無敵》、《活出歷史》、《我的一生：柯林頓傳》、《失業並非壞事》等。
此外，本書亦要感謝臺大外文系翻譯學程學生林志嘉、施行一、周詩瑋鼎力襄助。
","/Users/zxy/Calibre Library/Jiang Zhe Huan  _ Pi Ye .Li Gu Le  Zhu ,Zhong Yu Jue  Yi/Ping Rang Shui Zu Guan (169)/cover.jpg","2020-11-02T13:25:28+08:00","epub, pdf, txt","9789868816084","169","isbn:9789868816084","zho","Calibre Library","2014-02-08T00:00:00+08:00","制作：lichao","","","1.0","19460586","","平壤水族館","平壤水族館","","27c209ec-7e5b-4168-9638-d25b27def48f"
"吉莉恩•巴特勒 & 弗雷达•麦克马纳斯","吉莉恩•巴特勒 & 弗雷达•麦克马纳斯","基思·斯坦诺维奇(Keith E.Stanovich),目前担任加拿大多伦多大学人类发展与应用心理学的国家首席教授,他的研究领域是推理和阅读的心理学机制。他于2010年获得格威尔美尔教育奖(Grawemeyer Award in Education)。他至今已发表了200多篇科学论文。在一项对于论文引用率的调查中,斯坦诺维奇位列引用率最高的50位发展心理学家之一,也是25位最高产的教育心理学家之一。他所撰写的《对“伪心理学”说不》(How to Think Straight about Psychology)一书被全球300多所心理学高等教育机构采用。
","/Users/zxy/Calibre Library/Ji Li En _Ba Te Le/Niu Jin Tong Shi Du Ben _Sheng Huo Zhong De Xin Li Xue (Zhong Wen Ban ) (170)/cover.jpg","2020-11-02T13:25:30+08:00","azw3, epub, mobi, pdf","9787544729796","170","mobi-asin:B00H9WJ16Q,isbn:9787544729796","zho","Calibre Library","2013-10-01T00:00:00+08:00","","","","1.0","16501914","心理学, ①心理学-通俗读物","牛津通识读本：生活中的心理学(中文版)","牛津通识读本：生活中的心理学(中文版)","","44f54594-f03e-41ea-a89d-a525bb308071"
"罗伯恃西奥迪尼","罗伯恃西奥迪尼","《学会提问:批判性思维指南(心理学导读系列)》立论严谨，深入浅出，贴近实际，指导性强，深受广大读者的欢迎，在美国被誉为指导批判性思维“最成功的”书籍之一。至今已出至第七版。
","/Users/zxy/Calibre Library/Luo Bo Shi Xi Ao Di Ni/Ying Xiang Li (171)/cover.jpg","2020-11-02T13:25:36+08:00","epub, mobi, pdf, txt","","171","","zho","Calibre Library","2011-07-01T16:30:43+08:00","","","","1.0","2119986","","影响力","影响力","","7e0459a3-8571-49a1-b461-e6b2ab1e3ea0"
"巴斯","巴斯","","/Users/zxy/Calibre Library/Ba Si/Jin Hua Xin Li Xue _Xin Li De Xin Ke Xue (172)/cover.jpg","2020-11-02T13:25:40+08:00","mobi, pdf","","172","","zho","Calibre Library","2007-01-01T00:00:00+08:00","华东师范大学出版社","","","1.0","35552029","心理学","进化心理学：心理的新科学","进化心理学：心理的新科学","","760a7956-0e39-4fc8-8444-55b7d967614d"
"（美）约翰·布雷萧著","（美）约翰·布雷萧著","","/Users/zxy/Calibre Library/(Mei )Yue Han _Bu Lei Xiao Zhu/Jia Ting Hui Shang Ren  Zi Wo Zhong Sheng De Xin Qi Ji (173)/cover.jpg","2020-11-02T13:25:43+08:00","pdf","","173","","","Calibre Library","0101-01-01T08:00:00+08:00","","","","1.0","8700116","","家庭会伤人 自我重生的新契机","家庭会伤人 自我重生的新契机","","2f59da5c-aafa-460b-9d18-42be6f96b5a4"
"Aronson, Elliot","Elliot Aronson","《社会性动物》是美国社会心理学家艾略特·阿伦森 [Elliot Aronson 1932.01.09]出版的一本社会心理学的著作，它被称为“美国社会心理学的《圣经》”（Revue des QuestionsScientifiques的评价）。本书从1972年出版第一版以来，在世界范围内畅销数千万册，是社会心理学领域内最具影响的著作。作者艾略特·阿伦森是美国心理学会110年历史上唯一一位获得所有三项大奖的心理学家：杰出研究奖（1999年）、杰出教学奖（1980年）和杰出著作奖（1975年）。","/Users/zxy/Calibre Library/Elliot Aronson/She Hui Xing Dong Wu (174)/cover.jpg","2020-11-02T13:25:44+08:00","epub, mobi, pdf, txt","9787561756638","174","isbn:9787561756638","zho","Calibre Library","2007-12-21T00:00:00+08:00","epub掌上书苑","","","1.0","965094","专业书籍","社会性动物","社会性动物","","fb6f24d7-7c14-4a99-a0b5-57d8bd154b78"
"约翰·格雷","约翰·格雷","听雨尘心","/Users/zxy/Calibre Library/Yue Han _Ge Lei/Nan Ren Lai Zi Huo Xing ,Nu Ren Lai Zi Jin Xing (175)/cover.jpg","2020-11-02T13:25:47+08:00","pdf, txt","","175","","","Calibre Library","2005-10-18T00:55:56+08:00","","","","1.0","4747604","http://realking1980.blogchina.com","男人来自火星，女人来自金星","男人来自火星，女人来自金星","","647ea2f1-71f6-42c2-92e1-c9742d3c4e1e"
